ProductKey,ProductAlternateKey,ProductCategoryName,ProductSubcategoryName,ProductName,ProductLine,Description,StandardCost,FinishedGoodsFlag,Color,ListPrice,Size,SizeRange,Weight,DaysToManufacture,Class,Style,ModelName
1,AR-5381,,,Adjustable Race,,,,0,NA,,,NA,,0,,,
2,BA-8327,,,Bearing Ball,,,,0,NA,,,NA,,0,,,
3,BE-2349,,,BB Ball Bearing,,,,0,NA,,,NA,,1,,,
4,BE-2908,,,Headset Ball Bearings,,,,0,NA,,,NA,,0,,,
5,BL-2036,,,Blade,,,,0,NA,,,NA,,1,,,
6,CA-5965,,,LL Crankarm,,,,0,Black,,,NA,,0,"L ",,
7,CA-6738,,,ML Crankarm,,,,0,Black,,,NA,,0,"M ",,
8,CA-7457,,,HL Crankarm,,,,0,Black,,,NA,,0,,,
9,CB-2903,,,Chainring Bolts,,,,0,Silver,,,NA,,0,,,
10,CN-6137,,,Chainring Nut,,,,0,Silver,,,NA,,0,,,
11,CR-7833,,,Chainring,,,,0,Black,,,NA,,0,,,
12,CR-9981,,,Crown Race,,,,0,NA,,,NA,,0,,,
13,CS-2812,,,Chain Stays,,,,0,NA,,,NA,,1,,,
14,DC-8732,,,Decal 1,,,,0,NA,,,NA,,0,,,
15,DC-9824,,,Decal 2,,,,0,NA,,,NA,,0,,,
16,DT-2377,,,Down Tube,,,,0,NA,,,NA,,1,,,
17,EC-M092,,,Mountain End Caps,,,,0,NA,,,NA,,1,,,
18,EC-R098,,,Road End Caps,,,,0,NA,,,NA,,1,,,
19,EC-T209,,,Touring End Caps,,,,0,NA,,,NA,,1,,,
20,FE-3760,,,Fork End,,,,0,NA,,,NA,,1,,,
21,FH-2981,,,Freewheel,,,,0,Silver,,,NA,,0,,,
22,FW-1000,,,Flat Washer 1,,,,0,NA,,,NA,,0,,,
23,FW-1200,,,Flat Washer 6,,,,0,NA,,,NA,,0,,,
24,FW-1400,,,Flat Washer 2,,,,0,NA,,,NA,,0,,,
25,FW-3400,,,Flat Washer 9,,,,0,NA,,,NA,,0,,,
26,FW-3800,,,Flat Washer 4,,,,0,NA,,,NA,,0,,,
27,FW-5160,,,Flat Washer 3,,,,0,NA,,,NA,,0,,,
28,FW-5800,,,Flat Washer 8,,,,0,NA,,,NA,,0,,,
29,FW-7160,,,Flat Washer 5,,,,0,NA,,,NA,,0,,,
30,FW-9160,,,Flat Washer 7,,,,0,NA,,,NA,,0,,,
31,FC-3654,,,Fork Crown,,,,0,NA,,,NA,,1,,,
32,FC-3982,,,Front Derailleur Cage,,,,0,Silver,,,NA,,0,,,
33,FL-2301,,,Front Derailleur Linkage,,,,0,Silver,,,NA,,0,,,
34,GP-0982,,,Guide Pulley,,,,0,NA,,,NA,,0,,,
35,GT-0820,,,LL Grip Tape,,,,0,NA,,,NA,,0,"L ",,
36,GT-1209,,,ML Grip Tape,,,,0,NA,,,NA,,0,"M ",,
37,GT-2908,,,HL Grip Tape,,,,0,NA,,,NA,,0,,,
38,HJ-1213,,,Thin-Jam Hex Nut 9,,,,0,NA,,,NA,,0,,,
39,HJ-1220,,,Thin-Jam Hex Nut 10,,,,0,NA,,,NA,,0,,,
40,HJ-1420,,,Thin-Jam Hex Nut 1,,,,0,NA,,,NA,,0,,,
41,HJ-1428,,,Thin-Jam Hex Nut 2,,,,0,NA,,,NA,,0,,,
42,HJ-3410,,,Thin-Jam Hex Nut 15,,,,0,NA,,,NA,,0,,,
43,HJ-3416,,,Thin-Jam Hex Nut 16,,,,0,NA,,,NA,,0,,,
44,HJ-3816,,,Thin-Jam Hex Nut 5,,,,0,NA,,,NA,,0,,,
45,HJ-3824,,,Thin-Jam Hex Nut 6,,,,0,NA,,,NA,,0,,,
46,HJ-5161,,,Thin-Jam Hex Nut 3,,,,0,NA,,,NA,,0,,,
47,HJ-5162,,,Thin-Jam Hex Nut 4,,,,0,NA,,,NA,,0,,,
48,HJ-5811,,,Thin-Jam Hex Nut 13,,,,0,NA,,,NA,,0,,,
